A4GALT	ENSG00000128274
MATR3	ENSG00000280987
MAX	ENSG00000125952
MBD5	ENSG00000204406
MBL2	ENSG00000165471
MBTPS2	ENSG00000012174
MC1R	ENSG00000258839
MC2R	ENSG00000185231
MC3R	ENSG00000124089
MC4R	ENSG00000166603
MCCC1	ENSG00000078070
MCCC2	ENSG00000131844
MCC	ENSG00000171444
MCEE	ENSG00000124370
MCFD2	ENSG00000180398
MCM4	ENSG00000104738
MCM6	ENSG00000076003
MCM8	ENSG00000125885
MCM9	ENSG00000111877
MCOLN1	ENSG00000090674
MCPH1	ENSG00000147316
MDM2	ENSG00000135679
MECOM	ENSG00000085276
MECP2	ENSG00000169057
MED12	ENSG00000184634
MED13L	ENSG00000123066
MED17	ENSG00000042429
MED23	ENSG00000112282
MED25	ENSG00000104973
MEF2A	ENSG00000068305
MEF2C	ENSG00000081189
MEFV	ENSG00000103313
MEGF10	ENSG00000145794
MEGF8	ENSG00000105429
MEN1	ENSG00000133895
MEOX1	ENSG00000005102
MERTK	ENSG00000153208
MESP2	ENSG00000188095
MET	ENSG00000105976
METTL23	ENSG00000181038
MFAP5	ENSG00000197614
MFN2	ENSG00000116688
MFRP	ENSG00000235718
MFSD2A	ENSG00000168389
MFSD8	ENSG00000164073
MGAT2	ENSG00000168282
MGME1	ENSG00000125871
MGP	ENSG00000111341
MIAT	ENSG00000225783
MIB1	ENSG00000101752
MICU1	ENSG00000107745
MID1	ENSG00000101871
MID2	ENSG00000080561
MIF	ENSG00000276701
MINPP1	ENSG00000107789
MIP	ENSG00000135517
MIR17HG	ENSG00000215417
MIR184	ENSG00000207695
MIR204	
MIR2861	
MIR96	ENSG00000199158
MITF	ENSG00000187098
MKKS	ENSG00000125863
MKL1	ENSG00000196588
MKRN3-AS1	
MKRN3	ENSG00000179455
MKS1	ENSG00000011143
MLC1	ENSG00000100427
MLH1	ENSG00000076242
MLH3	ENSG00000119684
MLPH	ENSG00000115648
MLYCD	ENSG00000103150
MMAA	ENSG00000151611
MMAB	ENSG00000139428
MMACHC	ENSG00000132763
MMADHC	ENSG00000168288
MMP13	ENSG00000137745
MMP14	ENSG00000157227
MMP19	ENSG00000123342
MMP1	ENSG00000196611
MMP20	ENSG00000137674
MMP21	ENSG00000154485
MMP2	ENSG00000087245
MMP3	ENSG00000149968
MMP9	ENSG00000100985
MN1	ENSG00000169184
MNX1	ENSG00000130675
MOCS1	ENSG00000124615
MOCS2	ENSG00000164172
MOG	ENSG00000230885
MOGS	ENSG00000115275
MORC2	ENSG00000133422
MPC1	ENSG00000060762
MPDU1	ENSG00000129255
MPDZ	ENSG00000107186
MPI	ENSG00000178802
MPL	ENSG00000117400
MPLKIP	ENSG00000168303
MPO	ENSG00000005381
MPV17	ENSG00000115204
MPZ	ENSG00000158887
MR1	ENSG00000153029
MRAP2	ENSG00000135324
MRAP	ENSG00000170262
MRE11A	ENSG00000020922
MRPL3	ENSG00000114686
MRPL44	ENSG00000135900
MRPS16	ENSG00000182180
MRPS22	ENSG00000175110
MS4A1	ENSG00000156738
MS4A2	ENSG00000149534
MSH2	ENSG00000095002
MSH3	ENSG00000113318
MSH6	ENSG00000116062
MSMB	ENSG00000263639
MSMO1	ENSG00000052802
MSR1	ENSG00000038945
MSRB3	ENSG00000174099
MST1	ENSG00000173531
MSTN	ENSG00000138379
MSX1	ENSG00000163132
MSX2	ENSG00000120149
MTAP	ENSG00000099810
MTFMT	ENSG00000103707
MTHFR	ENSG00000177000
MTM1	ENSG00000171100
MTMR14	ENSG00000163719
MTMR2	ENSG00000087053
MTNR1B	ENSG00000134640
MTO1	ENSG00000135297
MTOR	ENSG00000198793
MTPAP	ENSG00000107951
MTR	ENSG00000116984
MTRR	ENSG00000124275
MT-TF	
MT-TG	
MT-TH	
MT-TR	
MUC1	ENSG00000185499
MUC5B	ENSG00000117983
MUC7	ENSG00000171195
MUSK	ENSG00000030304
MUT	ENSG00000146085
MUTYH	ENSG00000132781
MVD	ENSG00000167508
MVK	ENSG00000110921
MXI1	ENSG00000119950
MYB	ENSG00000118513
MYBPC1	ENSG00000196091
MYBPC3	ENSG00000134571
MYC	ENSG00000136997
MYCN	ENSG00000134323
MYD88	ENSG00000172936
MYF6	ENSG00000111046
MYH11	ENSG00000133392
MYH14	ENSG00000105357
MYH2	ENSG00000125414
MYH3	ENSG00000109063
MYH6	ENSG00000197616
MYH7	ENSG00000092054
MYH8	ENSG00000133020
MYH9	ENSG00000100345
MYL2	ENSG00000111245
MYL3	ENSG00000160808
MYLK2	ENSG00000101306
MYLK	ENSG00000065534
MYO15A	ENSG00000091536
MYO18B	ENSG00000133454
MYO1C	ENSG00000197879
MYO1E	ENSG00000157483
MYO3A	ENSG00000095777
MYO5A	ENSG00000197535
MYO5B	ENSG00000167306
MYO6	ENSG00000196586
MYO7A	ENSG00000137474
MYO9B	ENSG00000099331
MYOC	ENSG00000034971
MYOT	ENSG00000120729
MYOZ2	ENSG00000172399
MYPN	ENSG00000138347
MYT1L	ENSG00000186487
NAA10	ENSG00000102030
NADK2	ENSG00000152620
NAGA	ENSG00000198951
NAGLU	ENSG00000108784
NAGS	ENSG00000161653
NALCN	ENSG00000102452
NANOS1	ENSG00000188613
NAPB	ENSG00000125814
NARS2	ENSG00000137513
NAT1	ENSG00000171428
NAT2	ENSG00000156006
NAT8L	ENSG00000185818
NBAS	ENSG00000151779
NBEAL2	ENSG00000160796
NBN	ENSG00000104320
NCF1	ENSG00000158517
NCF2	ENSG00000116701
NCF4	ENSG00000275990
NCR3	ENSG00000225211
NCSTN	ENSG00000162736
NDE1	ENSG00000072864
NDN	ENSG00000182636
NDP	ENSG00000124479
NDRG1	ENSG00000104419
NDST1	ENSG00000070614
NDUFA10	ENSG00000130414
NDUFA11	ENSG00000174886
NDUFA12	ENSG00000184752
NDUFA13	ENSG00000186010
NDUFA1	ENSG00000125356
NDUFA2	ENSG00000131495
NDUFA9	ENSG00000139180
NDUFAF1	ENSG00000137806
NDUFAF2	ENSG00000164182
NDUFAF3	ENSG00000178057
NDUFAF4	ENSG00000123545
NDUFAF5	ENSG00000101247
NDUFAF6	ENSG00000156170
NDUFB11	ENSG00000147123
NDUFB3	ENSG00000119013
NDUFB9	ENSG00000147684
NDUFS1	ENSG00000023228
NDUFS2	ENSG00000158864
NDUFS3	ENSG00000213619
NDUFS4	ENSG00000164258
NDUFS6	ENSG00000145494
NDUFS7	ENSG00000115286
NDUFS8	ENSG00000110717
NDUFV1	ENSG00000167792
NDUFV2	ENSG00000178127
NEB	ENSG00000183091
NECAP1	ENSG00000089818
NECTIN1	ENSG00000110400
NEFH	ENSG00000100285
NEFL	ENSG00000277586
NEK1	ENSG00000137601
NEK2	ENSG00000117650
NEK8	ENSG00000160602
NET1	ENSG00000173848
NEU1	ENSG00000223957
NEUROD1	ENSG00000162992
NEUROG3	ENSG00000122859
NEXN	ENSG00000162614
NF1	ENSG00000196712
NF2	ENSG00000186575
NFIX	ENSG00000008441
NFKB1	ENSG00000109320
NFKB2	ENSG00000077150
NFKBIA	ENSG00000100906
NFKBIL1	ENSG00000227565
NFU1	ENSG00000169599
NGF	ENSG00000134259
NGLY1	ENSG00000151092
NHEJ1	ENSG00000187736
NHLRC1	ENSG00000187566
NHP2	ENSG00000145912
NHS	ENSG00000188158
NIN	ENSG00000100503
NIPA1	ENSG00000170113
NIPAL4	ENSG00000172548
NIPBL	ENSG00000164190
NKX2-1	ENSG00000136352
NKX2-5	ENSG00000183072
NKX2-6	ENSG00000180053
NKX3-2	ENSG00000109705
NLGN3	ENSG00000196338
NLRC4	ENSG00000091106
NLRP12	ENSG00000142405
NLRP1	ENSG00000091592
NLRP3	ENSG00000162711
NM	
NME1	ENSG00000239672
NME8	ENSG00000086288
NMNAT1	ENSG00000173614
NNT	ENSG00000112992
NOBOX	ENSG00000106410
NOD2	ENSG00000167207
NODAL	ENSG00000156574
NOG	ENSG00000183691
NOL3	ENSG00000140939
NONO	ENSG00000147140
NOP10	ENSG00000182117
NOP56	ENSG00000101361
NOS1	ENSG00000089250
NOS2	ENSG00000007171
NOS3	ENSG00000164867
NOTCH1	ENSG00000148400
NOTCH2	ENSG00000134250
NOTCH3	ENSG00000074181
NPC1	ENSG00000141458
NPC1L1	ENSG00000015520
NPC2	ENSG00000119655
NPHP1	ENSG00000144061
NPHP3	ENSG00000113971
NPHP4	ENSG00000131697
NPHS1	ENSG00000161270
NPHS2	ENSG00000116218
NPM1	ENSG00000181163
NPPA	ENSG00000175206
NPR2	ENSG00000159899
NPSR1-AS1	ENSG00000197085
NPSR1	ENSG00000187258
NQO1	ENSG00000181019
NR0B1	ENSG00000169297
NR0B2	ENSG00000131910
NR2E3	ENSG00000278570
NR2F1	ENSG00000175745
NR2F2	ENSG00000185551
NR3C1	ENSG00000113580
NR3C2	ENSG00000151623
NR5A1	ENSG00000136931
NRAS	ENSG00000213281
NRL	ENSG00000129535
NRXN1	ENSG00000179915
NSD1	ENSG00000165671
NSDHL	ENSG00000147383
NSMF	ENSG00000165802
NSUN2	ENSG00000037474
NT5C2	ENSG00000076685
NT5C3A	ENSG00000122643
NT5E	ENSG00000135318
NTHL1	ENSG00000065057
NTRK1	ENSG00000198400
NTRK2	ENSG00000148053
NUBPL	ENSG00000151413
NUDT15	ENSG00000136159
NUMA1	ENSG00000137497
NUP107	ENSG00000111581
NUP155	ENSG00000113569
NUP205	ENSG00000155561
NUP214	ENSG00000126883
NUP62	ENSG00000213024
NUP93	ENSG00000102900
NYX	ENSG00000188937
OAS1	ENSG00000089127
OAT	ENSG00000065154
OBSL1	ENSG00000124006
OCA2	ENSG00000277361
OCLN	ENSG00000273814
OCRL	ENSG00000122126
ODC1	ENSG00000115758
OFC1	
OFC2	
OFD1	ENSG00000046651
OGG1	ENSG00000114026
OLR1	ENSG00000173391
OPA1	ENSG00000198836
OPA3	ENSG00000125741
OPCML	ENSG00000183715
OPHN1	ENSG00000079482
OPLAH	ENSG00000178814
OPN1LW	ENSG00000102076
OPN1MW	ENSG00000268221
OPN1SW	ENSG00000128617
OPTN	ENSG00000123240
OR2J3	ENSG00000233618
ORAI1	ENSG00000276045
ORC1	ENSG00000085840
ORC4	ENSG00000115947
ORC6	ENSG00000091651
OSBPL2	ENSG00000130703
OSMR	ENSG00000145623
OSTM1	ENSG00000081087
OTC	ENSG00000036473
OTOA	ENSG00000155719
OTOF	ENSG00000115155
OTOG	ENSG00000188162
OTOGL	ENSG00000165899
OTX2	ENSG00000165588
OVOL2	ENSG00000125850
OXCT1	ENSG00000083720
P2RX1	ENSG00000108405
P2RX2	ENSG00000187848
P2RY12	ENSG00000169313
P3H1	ENSG00000117385
P3H2	ENSG00000090530
P4HB	ENSG00000185624
PABPN1	ENSG00000100836
PACS1	ENSG00000175115
PADI4	ENSG00000159339
PAF1	ENSG00000006712
PAFAH1B1	ENSG00000007168
PAH	ENSG00000171759
PAK3	ENSG00000077264
PALB2	ENSG00000083093
PALLD	ENSG00000129116
PAM16	ENSG00000282228
PANK2	ENSG00000125779
PAPPA-AS1	ENSG00000256040
PAPSS2	ENSG00000198682
PARK2	ENSG00000185345
PARK7	ENSG00000116288
PARN	ENSG00000274829
PAX1	ENSG00000125813
PAX2	ENSG00000075891
PAX3	ENSG00000135903
PAX4	ENSG00000106331
PAX5	ENSG00000196092
PAX6	ENSG00000007372
PAX7	ENSG00000009709
PAX8	ENSG00000125618
PAX9	ENSG00000198807
PCBD1	ENSG00000166228
PCCA	ENSG00000175198
PCCB	ENSG00000114054
PCDH15	ENSG00000150275
PCDH19	ENSG00000165194
PC	ENSG00000173599
PCLO	ENSG00000186472
PCNA	ENSG00000132646
PCNT	ENSG00000160299
PCSK1	ENSG00000175426
PCSK9	ENSG00000169174
PCYT1A	ENSG00000161217
PDCD10	ENSG00000114209
PDCD1	ENSG00000276977
PDC	ENSG00000116703
PDE10A	ENSG00000112541
PDE11A	ENSG00000128655
PDE3A	ENSG00000172572
PDE4D	ENSG00000113448
PDE6A	ENSG00000132915
PDE6B	ENSG00000133256
PDE6C	ENSG00000095464
PDE6D	ENSG00000156973
PDE6G	ENSG00000185527
PDE6H	ENSG00000139053
PDE8B	ENSG00000113231
PDGFB	ENSG00000100311
PDGFRA	ENSG00000134853
PDGFRB	ENSG00000113721
PDGFRL	ENSG00000104213
PDHA1	ENSG00000131828
PDHB	ENSG00000168291
PDK3	ENSG00000067992
PDP1	ENSG00000164951
PDSS1	ENSG00000148459
PDSS2	ENSG00000164494
PDX1	ENSG00000139515
PDYN	ENSG00000101327
PDZD7	ENSG00000186862
PEPD	ENSG00000124299
PER2	ENSG00000132326
PER3	ENSG00000049246
PET100	ENSG00000229833
PEX10	ENSG00000157911
PEX11B	ENSG00000131779
PEX12	ENSG00000108733
PEX13	ENSG00000162928
PEX14	ENSG00000142655
PEX16	ENSG00000121680
PEX19	ENSG00000162735
PEX1	ENSG00000127980
PEX26	ENSG00000215193
PEX2	ENSG00000164751
PEX3	ENSG00000034693
PEX5	ENSG00000139197
PEX6	ENSG00000124587
PEX7	ENSG00000112357
PFKM	ENSG00000152556
PFN1	ENSG00000108518
PGAM2	ENSG00000164708
PGAP1	ENSG00000197121
PGAP2	ENSG00000148985
PGAP3	ENSG00000161395
PGK1	ENSG00000102144
PGM1	ENSG00000079739
PGM3	ENSG00000013375
PHB	ENSG00000167085
PHC1	ENSG00000111752
PHEX	ENSG00000102174
PHF11	ENSG00000136147
PHF6	ENSG00000156531
PHF8	ENSG00000172943
PHGDH	ENSG00000092621
PHKA1	ENSG00000067177
PHKA2	ENSG00000044446
PHKB	ENSG00000102893
PHKG2	ENSG00000156873
PHOX2A	ENSG00000165462
PHOX2B	ENSG00000109132
PHYH	ENSG00000107537
PHYKPL	ENSG00000175309
PI4KA	ENSG00000241973
PICALM	ENSG00000073921
PIEZO1	ENSG00000103335
PIEZO2	ENSG00000154864
PIGA	ENSG00000165195
PIGG	ENSG00000174227
PIGL	ENSG00000108474
PIGM	ENSG00000143315
PIGN	ENSG00000197563
PIGO	ENSG00000165282
PIGT	ENSG00000124155
PIGV	ENSG00000060642
PIGW	ENSG00000277161
PIGY	ENSG00000255072
PIK3CA	ENSG00000121879
PIK3CD	ENSG00000171608
PIK3R1	ENSG00000145675
PIK3R2	ENSG00000105647
PIK3R5	ENSG00000141506
PIKFYVE	ENSG00000115020
PINK1	ENSG00000158828
PIP5K1C	ENSG00000186111
PITPNM3	ENSG00000091622
PITX1	ENSG00000069011
PITX2	ENSG00000164093
PITX3	ENSG00000107859
PKD1	ENSG00000008710
PKD2	ENSG00000118762
PKHD1	ENSG00000170927
PKLR	ENSG00000262785
PKP1	ENSG00000081277
PKP2	ENSG00000057294
PLA2G2A	ENSG00000188257
PLA2G4A	ENSG00000116711
PLA2G5	ENSG00000127472
PLA2G6	ENSG00000184381
PLA2G7	ENSG00000146070
PLAG1	ENSG00000181690
PLAU	ENSG00000122861
PLCB1	ENSG00000182621
PLCB4	ENSG00000101333
PLCD1	ENSG00000187091
PLCE1	ENSG00000138193
PLCG2	ENSG00000197943
PLEC	ENSG00000178209
PLEKHG2	ENSG00000090924
PLEKHG5	ENSG00000171680
PLEKHM1	ENSG00000277111
PLG	ENSG00000122194
PLIN1	ENSG00000166819
PLK4	ENSG00000142731
PLN	ENSG00000198523
PLOD1	ENSG00000083444
PLOD2	ENSG00000152952
PLOD3	ENSG00000106397
PLP1	ENSG00000123560
PLS3	ENSG00000102024
PLTP	ENSG00000100979
PML	ENSG00000140464
PMM2	ENSG00000140650
PMP22	ENSG00000109099
PMPCA	ENSG00000165688
PMS2	ENSG00000122512
PMVK	ENSG00000163344
PNKD	ENSG00000127838
PNKP	ENSG00000039650
PNP	ENSG00000198805
PNPLA1	ENSG00000180316
PNPLA2	ENSG00000177666
PNPLA6	ENSG00000032444
PNPLA8	ENSG00000135241
PNPO	ENSG00000108439
PNPT1	ENSG00000138035
POC1A	ENSG00000164087
POC1B	ENSG00000139323
POF1B	ENSG00000124429
POFUT1	ENSG00000101346
POGLUT1	ENSG00000163389
POGZ	ENSG00000143442
POLD1	ENSG00000062822
POLG2	ENSG00000256525
POLG	ENSG00000140521
POLH	ENSG00000170734
POLR1A	ENSG00000068654
POLR1C	ENSG00000171453
POLR1D	ENSG00000186184
POLR3A	ENSG00000148606
POLR3B	ENSG00000013503
POMC	ENSG00000115138
POMGNT1	ENSG00000085998
POMGNT2	ENSG00000144647
POMK	ENSG00000185900
POMP	ENSG00000132963
POMT1	ENSG00000130714
POMT2	ENSG00000009830
PON1	ENSG00000005421
PON2	ENSG00000105854
PORCN	ENSG00000102312
POR	ENSG00000127948
POT1	ENSG00000128513
POU1F1	ENSG00000064835
POU3F4	ENSG00000196767
POU4F3	ENSG00000091010
POU6F2	ENSG00000106536
PPARA	ENSG00000186951
PPARGC1B	ENSG00000155846
PPARG	ENSG00000132170
PPIB	ENSG00000166794
PPM1D	ENSG00000170836
PPM1K	ENSG00000163644
PPOX	ENSG00000143224
PPP1R15B	ENSG00000158615
PPP1R3A	ENSG00000154415
PPP2R1A	ENSG00000105568
PPP2R1B	ENSG00000137713
PPP2R2B	ENSG00000156475
PPP2R5D	ENSG00000112640
PPT1	ENSG00000131238
PQBP1	ENSG00000102103
PRCC	ENSG00000143294
PRCD	ENSG00000214140
PRDM12	ENSG00000130711
PRDM16	ENSG00000142611
PRDM5	ENSG00000138738
PRDM8	ENSG00000152784
PRF1	ENSG00000180644
PRG2	ENSG00000186652
PRG4	ENSG00000116690
PRICKLE1	ENSG00000139174
PRKACA	ENSG00000072062
PRKACG	ENSG00000165059
PRKAG2	ENSG00000106617
PRKAR1A	ENSG00000108946
PRKCA	ENSG00000154229
PRKCD	ENSG00000163932
PRKCG	ENSG00000126583
PRKCH	ENSG00000027075
PRKCSH	ENSG00000130175
PRKDC	ENSG00000253729
PRKG1	ENSG00000185532
PRKRA	ENSG00000180228
PRLR	ENSG00000113494
PRNP	ENSG00000171867
PROC	ENSG00000115718
PRODH2	ENSG00000250799
PRODH	ENSG00000100033
PROK2	ENSG00000163421
PROKR2	ENSG00000101292
PROM1	ENSG00000007062
PROP1	ENSG00000175325
PROS1	ENSG00000184500
PROZ	ENSG00000126231
PRPF31	ENSG00000275885
PRPF3	ENSG00000117360
PRPF4	ENSG00000136875
PRPF6	ENSG00000101161
PRPF8	ENSG00000274442
PRPH2	ENSG00000112619
PRPH	ENSG00000135406
PRPS1	ENSG00000147224
PRR4	ENSG00000263247
PRRT2	ENSG00000167371
PRRX1	ENSG00000116132
PRSS12	ENSG00000164099
PRSS1	ENSG00000274247
PRSS2	ENSG00000275896
PRSS56	ENSG00000237412
PRX	ENSG00000105227
PSAP	ENSG00000197746
PSAT1	ENSG00000135069
PSEN1	ENSG00000080815
PSEN2	ENSG00000143801
PSENEN	ENSG00000205155
PSMA6	ENSG00000100902
PSMB8	ENSG00000206298
PSMC3IP	ENSG00000131470
PSPH	ENSG00000146733
PSTPIP1	ENSG00000140368
PTCH1	ENSG00000185920
PTCH2	ENSG00000117425
PTCHD1	ENSG00000165186
PTDSS1	ENSG00000156471
PTEN	ENSG00000171862
PTF1A	ENSG00000168267
PTGDR	ENSG00000168229
PTGER2	ENSG00000125384
PTGIS	ENSG00000124212
PTH	ENSG00000152266
PTHLH	ENSG00000087494
PTPN11	ENSG00000179295
PTPN12	ENSG00000127947
PTPN14	ENSG00000152104
PTPN1	ENSG00000196396
PTPN22	ENSG00000134242
PTPRC	ENSG00000081237
PTPRF	ENSG00000142949
PTPRJ	ENSG00000149177
PTPRO	ENSG00000151490
PTPRQ	ENSG00000139304
PTRF	ENSG00000177469
PTRH2	ENSG00000141378
PTS	ENSG00000150787
PUF60	ENSG00000274081
PURA	ENSG00000185129
PUS1	ENSG00000177192
PXDN	ENSG00000130508
PXN	ENSG00000089159
PYCR1	ENSG00000183010
PYCR2	ENSG00000143811
PYGL	ENSG00000100504
PYGM	ENSG00000068976
QARS	ENSG00000172053
QDPR	ENSG00000151552
RAB18	ENSG00000099246
RAB23	ENSG00000112210
RAB27A	ENSG00000069974
RAB28	ENSG00000157869
RAB33B	ENSG00000172007
RAB39B	ENSG00000155961
RAB3GAP1	ENSG00000115839
RAB3GAP2	ENSG00000118873
RAC2	ENSG00000128340
RAD21	ENSG00000164754
RAD50	ENSG00000113522
RAD51C	ENSG00000108384
RAD51D	ENSG00000185379
RAD54B	ENSG00000197275
RAD54L	ENSG00000085999
RAF1	ENSG00000132155
RAG1	ENSG00000166349
RAG2	ENSG00000175097
RAI1	ENSG00000108557
RANBP2	ENSG00000153201
RAP1GDS1	ENSG00000138698
RAPSN	ENSG00000165917
RARB	ENSG00000077092
RARS2	ENSG00000146282
RARS	ENSG00000113643
RASA1	ENSG00000145715
RASGRP2	ENSG00000068831
RAX2	ENSG00000173976
RAX	ENSG00000134438
RB1CC1	ENSG00000023287
RB1	ENSG00000139687
RBBP8	ENSG00000101773
RBCK1	ENSG00000125826
RBM10	ENSG00000182872
RBM20	ENSG00000203867
RBM28	ENSG00000106344
RBM8A	ENSG00000265241
RBMX	ENSG00000147274
RBP3	ENSG00000265203
RBP4	ENSG00000138207
RBPJ	ENSG00000168214
RCBTB1	ENSG00000136144
RD3	ENSG00000198570
RDH11	ENSG00000072042
RDH12	ENSG00000139988
RDH5	ENSG00000135437
RDX	ENSG00000137710
RECQL4	ENSG00000160957
REEP1	ENSG00000068615
REEP2	ENSG00000132563
RELN	ENSG00000189056
REN	ENSG00000143839
REST	ENSG00000084093
RET	ENSG00000165731
RETN	ENSG00000104918
RFT1	ENSG00000163933
RFX5	ENSG00000143390
RFX6	ENSG00000185002
RFXANK	ENSG00000064490
RFXAP	ENSG00000133111
RGR	ENSG00000148604
RGS9BP	ENSG00000186326
RGS9	ENSG00000108370
RHAG	ENSG00000112077
RHBDF2	ENSG00000129667
RHCE	ENSG00000188672
RHD	ENSG00000187010
RHO	ENSG00000163914
RILP	ENSG00000167705
RIMS1	ENSG00000079841
RIN2	ENSG00000132669
RIPK4	ENSG00000183421
RIPPLY2	ENSG00000203877
RIT1	ENSG00000143622
RLBP1	ENSG00000140522
RMND1	ENSG00000155906
RMRP	ENSG00000269900
RNASEH1	ENSG00000171865
RNASEH2A	ENSG00000104889
RNASEH2B	ENSG00000136104
RNASEH2C	ENSG00000172922
RNASEL	ENSG00000135828
RNASET2	ENSG00000026297
RNF113A	ENSG00000125352
RNF125	ENSG00000101695
RNF135	ENSG00000181481
RNF139	ENSG00000170881
RNF168	ENSG00000163961
RNF170	ENSG00000120925
RNF212	ENSG00000178222
RNF213	ENSG00000173821
RNF216	ENSG00000011275
RNF217-AS1	
RNF6	ENSG00000127870
RNU4ATAC	ENSG00000264229
ROBO2	ENSG00000185008
ROBO3	ENSG00000154134
ROGDI	ENSG00000067836
ROM1	ENSG00000149489
ROR2	ENSG00000169071
RORC	ENSG00000143365
RP1	ENSG00000104237
RP1L1	ENSG00000183638
RP2	ENSG00000102218
RP9	ENSG00000164610
RPE65	ENSG00000116745
RPGR	ENSG00000156313
RPGRIP1	ENSG00000092200
RPGRIP1L	ENSG00000103494
RPIA	ENSG00000153574
RPL10	ENSG00000147403
RPL11	ENSG00000142676
RPL15	ENSG00000174748
RPL21	ENSG00000122026
RPL26	ENSG00000161970
RPL35A	ENSG00000182899
RPL5	ENSG00000122406
RPS10	ENSG00000124614
RPS14	ENSG00000164587
RPS17	ENSG00000278229
RPS19	ENSG00000105372
RPS24	ENSG00000138326
RPS26	ENSG00000197728
RPS28	ENSG00000233927
RPS29	ENSG00000213741
RPS6KA3	ENSG00000177189
RPS7	ENSG00000171863
RPSA	ENSG00000168028
RRAS2	ENSG00000133818
RRM2B	ENSG00000048392
RS1	ENSG00000102104
RSPH1	ENSG00000160188
RSPH3	ENSG00000130363
RSPH4A	ENSG00000111834
RSPH9	ENSG00000172426
RSPO1	ENSG00000169218
RSPO4	ENSG00000101282
RSPRY1	ENSG00000159579
RTEL1	ENSG00000258366
RTN2	ENSG00000125744
RTN4IP1	ENSG00000130347
RTN4R	ENSG00000040608
RTTN	ENSG00000176225
RUBCN	ENSG00000145016
RUNX1	ENSG00000159216
RUNX2	ENSG00000124813
RYR1	ENSG00000196218
RYR2	ENSG00000198626
S1PR2	ENSG00000267534
SACS	ENSG00000151835
SAG	ENSG00000130561
SALL1	ENSG00000103449
SALL2	ENSG00000165821
SALL4	ENSG00000101115
SAMD9	ENSG00000205413
SAMHD1	ENSG00000101347
SAR1B	ENSG00000152700
SARDH	ENSG00000123453
SARS2	ENSG00000104835
SASS6	ENSG00000156876
SATB2	ENSG00000119042
SBDS	ENSG00000126524
SBF1	ENSG00000100241
SBF2	ENSG00000133812
SCARB1	ENSG00000073060
SCARB2	ENSG00000138760
SCARF2	ENSG00000244486
SCD	ENSG00000099194
SCG3	ENSG00000104112
SCGB3A2	ENSG00000164265
SCN10A	ENSG00000185313
SCN11A	ENSG00000168356
SCN1A	ENSG00000144285
SCN1B	ENSG00000105711
SCN2A	ENSG00000136531
SCN2B	ENSG00000149575
SCN3B	ENSG00000166257
SCN4A	ENSG00000007314
SCN4B	ENSG00000177098
SCN5A	ENSG00000183873
SCN8A	ENSG00000196876
SCN9A	ENSG00000169432
SCNN1A	ENSG00000111319
SCNN1B	ENSG00000168447
SCNN1G	ENSG00000166828
SCO1	ENSG00000133028
SCO2	ENSG00000130489
SCP2	ENSG00000116171
SCT	ENSG00000274473
SCYL1	ENSG00000142186
SDC3	ENSG00000162512
SDCCAG8	ENSG00000276111
SDHA	ENSG00000073578
SDHAF1	ENSG00000205138
SDHAF2	ENSG00000167985
SDHB	ENSG00000117118
SDHC	ENSG00000143252
SDHD	ENSG00000204370
SDS	ENSG00000135094
SEC23A	ENSG00000100934
SEC23B	ENSG00000101310
SEC24D	ENSG00000150961
SEC63	ENSG00000025796
SECISBP2	ENSG00000187742
SELP	ENSG00000174175
SEMA3A	ENSG00000075213
SEMA3E	ENSG00000170381
SEMA4A	ENSG00000196189
SEMA7A	ENSG00000138623
SEPN1	ENSG00000162430
SEPSECS	ENSG00000109618
SEPT12	ENSG00000140623
SEPT9	ENSG00000282302
SERAC1	ENSG00000122335
SERPINA1	ENSG00000277377
SERPINA3	ENSG00000273259
SERPINA6	ENSG00000277405
SERPINB6	ENSG00000124570
SERPINB7	ENSG00000166396
SERPINC1	ENSG00000117601
SERPIND1	ENSG00000099937
SERPINE1	ENSG00000106366
SERPINF1	ENSG00000132386
SERPINF2	ENSG00000167711
SERPING1	ENSG00000149131
SERPINH1	ENSG00000149257
SERPINI1	ENSG00000163536
SETBP1	ENSG00000152217
SETD2	ENSG00000181555
SETD5	ENSG00000168137
SETX	ENSG00000107290
SF1	ENSG00000168066
SF3B1	ENSG00000115524
SF3B4	ENSG00000143368
SFTPA1	ENSG00000122852
SFTPA2	ENSG00000185303
SFTPB	ENSG00000168878
SFTPC	ENSG00000168484
SFXN4	ENSG00000183605
SGCA	ENSG00000108823
SGCB	ENSG00000163069
SGCD	ENSG00000170624
SGCE	ENSG00000127990
SGCG	ENSG00000102683
SGO1	ENSG00000129810
SGSH	ENSG00000181523
SH2B3	ENSG00000111252
SH2D1A	ENSG00000183918
SH3BP2	ENSG00000087266
SH3PXD2B	ENSG00000174705
SH3TC2	ENSG00000169247
SHANK2	ENSG00000162105
SHANK3	
SHH	ENSG00000164690
SHOC2	ENSG00000108061
SHOX	ENSG00000185960
SHROOM4	ENSG00000158352
SIAE	ENSG00000110013
SI	ENSG00000090402
SIGMAR1	ENSG00000147955
SIK1	ENSG00000142178
SIL1	ENSG00000120725
SIM1	ENSG00000112246
SIPA1L3	ENSG00000105738
SIX1	ENSG00000126778
SIX3	ENSG00000138083
SIX5	ENSG00000177045
SIX6	ENSG00000184302
